epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.7608,1.81681,4.6629,1.13596,0.00158,0.13544,0.00126,0.00039,1.34558,4.40939,0.90215,0.0001,0.0001,0.0001
2,105.934,1.62069,3.59138,0.99497,0.00045,0.02941,0.01711,0.00455,1.30361,4.16402,0.88447,0.000209495,0.000209495,0.000209495
3,150.711,1.51357,2.5123,0.94237,0.00495,0.37352,0.2245,0.10839,1.3408,3.98618,0.89619,0.000315807,0.000315807,0.000315807
4,192.785,1.49662,2.14767,0.94617,0.00675,0.47101,0.23732,0.14165,1.32257,3.72777,0.90847,0.000418938,0.000418938,0.000418938
5,235.068,1.42617,1.78043,0.94533,0.01298,0.73707,0.40202,0.22836,1.26604,3.55847,0.90478,0.000518886,0.000518886,0.000518886
6,280.872,1.36467,1.61244,0.92142,0.01947,0.90381,0.55032,0.31727,1.24108,3.50389,0.88531,0.000615652,0.000615652,0.000615652
7,326.129,1.32228,1.4412,0.91129,0.01826,0.9887,0.85156,0.47515,1.32881,3.16463,0.89874,0.000709236,0.000709236,0.000709236
8,377.771,1.34302,1.30893,0.9165,0.01781,0.9789,0.83822,0.45953,1.27711,3.11412,0.89406,0.000799638,0.000799638,0.000799638
9,430.378,1.32018,1.28105,0.91851,1,0.17462,0.95895,0.57189,1.24049,2.84776,0.88807,0.000886857,0.000886857,0.000886857
10,485.295,1.36717,1.29625,0.93791,1,0.08973,0.96769,0.58858,1.20161,2.74117,0.8891,0.000970895,0.000970895,0.000970895
11,541.215,1.28595,1.18898,0.93332,1,0.63739,0.9876,0.56691,1.22679,2.24383,0.88861,0.00105175,0.00105175,0.00105175
12,598.686,1.2951,1.14154,0.92669,0.98737,0.93219,0.98385,0.58016,1.30717,1.89055,0.89965,0.00105554,0.00105554,0.00105554
13,647.821,1.28254,1.12068,0.92273,0.98793,0.87211,0.98419,0.64684,1.19802,1.85141,0.88224,0.00103786,0.00103786,0.00103786
14,696.643,1.23948,1.07534,0.92579,0.98762,0.93755,0.98484,0.63219,1.26582,1.58401,0.90434,0.00102018,0.00102018,0.00102018
15,750.672,1.27003,0.98866,0.9009,0.97565,0.99435,0.98621,0.64263,1.21789,1.30615,0.90105,0.0010025,0.0010025,0.0010025
16,799.898,1.28453,1.02749,0.92171,0.97627,0.99435,0.99237,0.63965,1.22887,1.16114,0.90346,0.000984821,0.000984821,0.000984821
17,853.152,1.21886,1.01057,0.91826,0.96797,0.99148,0.98845,0.64348,1.20867,1.11696,0.90138,0.000967143,0.000967143,0.000967143
18,903.418,1.24539,0.97044,0.89865,0.98289,0.99243,0.98762,0.65321,1.21444,0.97863,0.90109,0.000949464,0.000949464,0.000949464
19,969.919,1.20359,0.92969,0.90236,0.97404,0.99258,0.99103,0.64763,1.17586,0.97278,0.89459,0.000931786,0.000931786,0.000931786
